speed;Vestas.V162.7200;Vestas.V162.5600;Vestas.V150.4200;Vestas.V136.4200;Vestas.V117.3300;Vestas.V112.3075;Enercon.E160.5560;Enercon.E138.3500;Enercon.E126.3500
rsa;20612;20612;17671,5;14526,7;10751,3;9852;20106,2;14957,1;12469
sp;349,3;271,7;237,7;289,1;306,9;312,1;276,5;234;280,7
0,5;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0
1,5;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0,002171429;0,002171429
2,5;0;0;0;0;0;0;0,007194245;0,009257143;0,009522857
3;0,005833333;0,004821429;0,02025;0,013571429;0,008787879;0,007479675;0,01852518;0,0224;0,020048571
3,5;0,015694444;0,025714286;0,043;0,031428571;0,024545455;0,022113821;0,036870504;0,042485714;0,034425714
4;0,035277778;0,051607143;0,07125;0,053333333;0,044242424;0,042276423;0,061690647;0,069771429;0,053217143
4,5;0,059166667;0,082857143;0,106;0,080238095;0,068484848;0,06699187;0,09352518;0,104314286;0,07672
5;0,087916667;0,119464286;0,14925;0,113809524;0,099090909;0,097886179;0,130935252;0,145342857;0,10696
5,5;0,122638889;0,164107143;0,20225;0,154285714;0,136969697;0,135934959;0,176258993;0,194485714;0,145154286
6;0,165138889;0,217857143;0,2655;0,203095238;0,181818182;0,181138211;0,229676259;0,252514286;0,191917143
6,5;0,215138889;0,281071429;0,34025;0,260952381;0,234848485;0,237398374;0,291546763;0,319428571;0,246837143
7;0,273472222;0,355357143;0,42725;0,328571429;0,297272727;0,296585366;0,360971223;0,394571429;0,310308571
7,5;0,340138889;0,440535714;0,52525;0,405714286;0,368484848;0,367479675;0,436151079;0,4766;0,382417143
8;0,415833333;0,5375;0,63625;0,492857143;0,449393939;0,447804878;0,515107914;0,562314286;0,462937143
8,5;0,500972222;0,645892857;0,7535;0,588571429;0,539393939;0,537886179;0,594964029;0,648028571;0,549331429
9;0,594027778;0,760178571;0,8645;0,684285714;0,637272727;0,635447154;0,673021583;0,729314286;0,638137143
9,5;0,6825;0,863214286;0,9445;0,770952381;0,738484848;0,738861789;0,746402878;0,801828571;0,724682857
10;0,766527778;0,938571429;0,9835;0,849285714;0,834242424;0,836422764;0,812410072;0,8624;0,803371429
10,5;0,846944444;0,978928571;0,99525;0,915952381;0,908787879;0,913170732;0,868884892;0,9094;0,869274286
11;0,923194444;0,996071429;0,99975;0,960714286;0,957272727;0,971707317;0,914028777;0,943714286;0,919168571
11,5;0,974305556;0,999642857;1;0,987142857;0,982121212;0,990569106;0,948021583;0,9668;0,953568571
12;0,994166667;1;1;0,997142857;0,992727273;0,996747967;0,971942446;0,9816;0,975131429
12,5;0,998472222;1;1;0,997380952;0,996969697;0,999349593;0,987769784;0,990371429;0,987471429
13;0,999722222;1;1;1;0,999090909;1;0,997841727;0,995285714;0,994442857
13,5;1;1;1;1;1;1;1;0,997914286;0,998757143
14;1;1;1;1;1;1;1;0,999142857;1
14,5;1;1;1;1;1;1;1;0,9998;1
15;1;1;1;1;1;1;1;1;1
15,5;1;1;1;1;1;1;1;1;1
16;1;1;1;1;1;1;1;1;1
16,5;1;1;1;1;1;1;1;1;1
17;1;1;1;1;1;1;1;1;1
17,5;1;1;1;1;1;1;1;1;1
18;1;1;1;1;1;1;1;1;1
18,5;0,99875;0,994285714;1;1;1;1;1;1;1
19;0,987916667;0,9675;1;1;1;1;1;1;1
19,5;0,966111111;0,924821429;1;1;1;1;1;0,998571429;1
20;0,928055556;0,873928571;1;1;1;1;1;0,995428571;1
20,5;0,875694444;0,823035714;0,99875;1;1;1;0,989748201;0,989142857;1
21;0,814583333;0,773035714;0,9355;1;1;1;0,972302158;0,978;1
21,5;0,749583333;0,721964286;0,82725;1;1;1;0,94676259;0,960857143;1
22;0,684444444;0,672142857;0,6825;1;1;1;0,911690647;0,934857143;1
22,5;0,619305556;0,622857143;0,5385;1;1;1;0,866546763;0,9;1
23;0,553333333;0,571964286;0,45125;1;1;1;0,812230216;0,855428571;1
23,5;0,488055556;0,520357143;0,3815;1;1;1;0,75;0,801142857;1
24;0,423472222;0,467142857;0,321;1;1;1;0,681834532;0,740571429;1
24,5;0,360833333;0;0,279;1;1;1;0,60971223;0,675142857;1
25;0,305833333;0;0;1;1;1;0,487230216;0,608;1
25,5;0;0;0;0;0;0;0,41852518;0;0
26;0;0;0;0;0;0;0,354856115;0;0
26,5;0;0;0;0;0;0;0,295143885;0;0
27;0;0;0;0;0;0;0,241007194;0;0
27,5;0;0;0;0;0;0;0,192805755;0;0
28;0;0;0;0;0;0;0,162230216;0;0
28,5;0;0;0;0;0;0;0;0;0
29;0;0;0;0;0;0;0;0;0
29,5;0;0;0;0;0;0;0;0;0
30;0;0;0;0;0;0;0;0;0
